"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: threadCount","Param: upper"
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,60,95.315393,0.602541,"ops/s",1,1000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,60,3.226159,0.009986,"ops/s",1,5000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,60,0.746050,0.002159,"ops/s",1,10000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,60,122.221958,0.483271,"ops/s",2,1000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,60,4.132712,0.032478,"ops/s",2,5000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,60,0.901538,0.001934,"ops/s",2,10000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,60,181.586120,0.621311,"ops/s",4,1000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,60,6.538002,0.010524,"ops/s",4,5000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,60,1.516790,0.002977,"ops/s",4,10000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,60,278.884079,3.286886,"ops/s",8,1000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,60,11.948926,0.184486,"ops/s",8,5000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,60,2.856866,0.003568,"ops/s",8,10000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,60,349.853567,1.467961,"ops/s",16,1000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,60,20.877178,0.039014,"ops/s",16,5000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,60,5.026942,0.016951,"ops/s",16,10000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,60,303.298681,2.183139,"ops/s",32,1000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,60,31.390080,0.114585,"ops/s",32,5000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,60,7.800255,0.034138,"ops/s",32,10000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLongHighContention","thrpt",1,60,97.062673,0.409326,"ops/s",1,1000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLongHighContention","thrpt",1,60,3.220416,0.012894,"ops/s",1,5000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLongHighContention","thrpt",1,60,0.743196,0.003035,"ops/s",1,10000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLongHighContention","thrpt",1,60,122.991111,0.513364,"ops/s",2,1000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLongHighContention","thrpt",1,60,4.174045,0.018481,"ops/s",2,5000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLongHighContention","thrpt",1,60,0.967473,0.003722,"ops/s",2,10000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLongHighContention","thrpt",1,60,191.561658,0.778445,"ops/s",4,1000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLongHighContention","thrpt",1,60,6.817218,0.013074,"ops/s",4,5000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLongHighContention","thrpt",1,60,1.595363,0.003626,"ops/s",4,10000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLongHighContention","thrpt",1,60,298.285388,1.967203,"ops/s",8,1000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLongHighContention","thrpt",1,60,12.319480,0.030517,"ops/s",8,5000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLongHighContention","thrpt",1,60,2.826423,0.006463,"ops/s",8,10000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLongHighContention","thrpt",1,60,357.495446,1.478027,"ops/s",16,1000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLongHighContention","thrpt",1,60,21.144780,0.074228,"ops/s",16,5000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLongHighContention","thrpt",1,60,5.051328,0.021328,"ops/s",16,10000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLongHighContention","thrpt",1,60,313.449376,1.028281,"ops/s",32,1000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLongHighContention","thrpt",1,60,32.145810,0.110787,"ops/s",32,5000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLongHighContention","thrpt",1,60,7.937975,0.035652,"ops/s",32,10000
"com.jake.sharedmemory.TotientSumBenchmark.testSynchronized","thrpt",1,60,100.833107,0.330767,"ops/s",1,1000
"com.jake.sharedmemory.TotientSumBenchmark.testSynchronized","thrpt",1,60,3.280802,0.018122,"ops/s",1,5000
"com.jake.sharedmemory.TotientSumBenchmark.testSynchronized","thrpt",1,60,0.766953,0.002637,"ops/s",1,10000
"com.jake.sharedmemory.TotientSumBenchmark.testSynchronized","thrpt",1,60,128.188276,0.617438,"ops/s",2,1000
"com.jake.sharedmemory.TotientSumBenchmark.testSynchronized","thrpt",1,60,4.266184,0.032407,"ops/s",2,5000
"com.jake.sharedmemory.TotientSumBenchmark.testSynchronized","thrpt",1,60,0.986246,0.008724,"ops/s",2,10000
"com.jake.sharedmemory.TotientSumBenchmark.testSynchronized","thrpt",1,60,195.477404,0.908458,"ops/s",4,1000
"com.jake.sharedmemory.TotientSumBenchmark.testSynchronized","thrpt",1,60,6.870928,0.013570,"ops/s",4,5000
"com.jake.sharedmemory.TotientSumBenchmark.testSynchronized","thrpt",1,60,1.621979,0.007912,"ops/s",4,10000
"com.jake.sharedmemory.TotientSumBenchmark.testSynchronized","thrpt",1,60,300.268134,2.969294,"ops/s",8,1000
"com.jake.sharedmemory.TotientSumBenchmark.testSynchronized","thrpt",1,60,12.464646,0.059914,"ops/s",8,5000
"com.jake.sharedmemory.TotientSumBenchmark.testSynchronized","thrpt",1,60,2.867788,0.014203,"ops/s",8,10000
"com.jake.sharedmemory.TotientSumBenchmark.testSynchronized","thrpt",1,60,361.909788,1.930847,"ops/s",16,1000
"com.jake.sharedmemory.TotientSumBenchmark.testSynchronized","thrpt",1,60,21.696281,0.082236,"ops/s",16,5000
"com.jake.sharedmemory.TotientSumBenchmark.testSynchronized","thrpt",1,60,5.173619,0.020821,"ops/s",16,10000
"com.jake.sharedmemory.TotientSumBenchmark.testSynchronized","thrpt",1,60,300.269826,20.679607,"ops/s",32,1000
"com.jake.sharedmemory.TotientSumBenchmark.testSynchronized","thrpt",1,60,32.615187,0.123284,"ops/s",32,5000
"com.jake.sharedmemory.TotientSumBenchmark.testSynchronized","thrpt",1,60,8.057303,0.031454,"ops/s",32,10000
"com.jake.sharedmemory.TotientSumBenchmark.testSynchronizedHighContention","thrpt",1,60,102.262556,0.536532,"ops/s",1,1000
"com.jake.sharedmemory.TotientSumBenchmark.testSynchronizedHighContention","thrpt",1,60,3.388148,0.017974,"ops/s",1,5000
"com.jake.sharedmemory.TotientSumBenchmark.testSynchronizedHighContention","thrpt",1,60,0.781815,0.002543,"ops/s",1,10000
"com.jake.sharedmemory.TotientSumBenchmark.testSynchronizedHighContention","thrpt",1,60,128.742967,0.484641,"ops/s",2,1000
"com.jake.sharedmemory.TotientSumBenchmark.testSynchronizedHighContention","thrpt",1,60,4.365834,0.027469,"ops/s",2,5000
"com.jake.sharedmemory.TotientSumBenchmark.testSynchronizedHighContention","thrpt",1,60,1.001630,0.004541,"ops/s",2,10000
"com.jake.sharedmemory.TotientSumBenchmark.testSynchronizedHighContention","thrpt",1,60,196.607165,1.163098,"ops/s",4,1000
"com.jake.sharedmemory.TotientSumBenchmark.testSynchronizedHighContention","thrpt",1,60,6.997349,0.037896,"ops/s",4,5000
