"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: threadCount","Param: upper"
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,40,102.502800,0.586258,"ops/s",1,1000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,40,3.187681,0.057728,"ops/s",1,5000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,40,0.722254,0.014369,"ops/s",1,10000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,40,120.964849,0.493604,"ops/s",2,1000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,40,4.079918,0.041519,"ops/s",2,5000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,40,0.986474,0.009778,"ops/s",2,10000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,40,194.695367,2.646252,"ops/s",4,1000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,40,6.782476,0.035605,"ops/s",4,5000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,40,1.587374,0.015412,"ops/s",4,10000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,40,305.226296,2.657162,"ops/s",8,1000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,40,12.020000,0.126980,"ops/s",8,5000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,40,2.787262,0.016440,"ops/s",8,10000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,40,321.979143,7.288698,"ops/s",16,1000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,40,20.015898,0.071279,"ops/s",16,5000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,40,4.891633,0.044995,"ops/s",16,10000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,40,267.977788,5.199101,"ops/s",32,1000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,40,30.683275,0.497432,"ops/s",32,5000
"com.jake.sharedmemory.TotientSumBenchmark.testAtomicLong","thrpt",1,40,7.713903,0.162255,"ops/s",32,10000
"com.jake.sharedmemory.TotientSumBenchmark.testLongAdder","thrpt",1,40,95.406928,0.767997,"ops/s",1,1000
"com.jake.sharedmemory.TotientSumBenchmark.testLongAdder","thrpt",1,40,3.103053,0.038829,"ops/s",1,5000
"com.jake.sharedmemory.TotientSumBenchmark.testLongAdder","thrpt",1,40,0.720866,0.005227,"ops/s",1,10000
"com.jake.sharedmemory.TotientSumBenchmark.testLongAdder","thrpt",1,40,119.829864,2.069077,"ops/s",2,1000
"com.jake.sharedmemory.TotientSumBenchmark.testLongAdder","thrpt",1,40,4.045504,0.038959,"ops/s",2,5000
